id,title,score,members,demographic,tags
4459,Demon Flowers,7.41,1079,Shoujo,"Action, Fantasy, Supernatural"
4521,Himitsu - H na Naishobanashi,6.05,2156,Shoujo,"Drama, Romance"
4526,Anata no Omocha,6.57,572,Shoujo,
4544,Sakura Irony,6.98,1051,Shoujo,"Comedy, Romance, School"
4557,Valkyria: Neav Saga,,218,,"Action, Fantasy"
4558,Clowick Canaan-Vail,6.5,368,,
4580,Beauty Honey,6.88,1455,Shoujo,"Comedy, Romance"
4683,Adult Time,7.2,1853,Shoujo,"Romance, School"
4725,Yuuwaku Healing,,240,Shoujo,"Romance, School"
4741,Haitoku no O-niwa,6.63,311,,Hentai
4778,A Rose Colored Life,6.96,734,,"Boys Love, Comedy, Erotica"
4784,Summer Affair,,76,,"Boys Love, Erotica"
4794,U・BU U・BU,,101,Shoujo,"Romance, Showbiz"
4803,Super Great Darling,,395,Shoujo,Romance
4804,Ohoshisama ni Onegai!,,212,Shoujo,
4805,Sugar☆Family,7.21,5491,Shoujo,"Comedy, Romance, School"
4807,Honey,,569,Shoujo,"Romance, School"
4834,Hotondo Ijou Zettai Miman,,53,Shoujo,
4844,The World of Narue,6.8,2068,Shounen,"Award Winning, Comedy, Drama, Romance, Sci-Fi, School"
4893,Tenshi Kouryaku Manual,6.87,482,Shoujo,"Comedy, Fantasy, Romance"
4966,Genei Hakurankai,6.74,717,Seinen,Mystery
5013,Urooboe Uroboros!,6.58,5344,Shounen,"Action, Romance, School"
5015,The Legend of Mother Sarah,7.41,5972,Seinen,"Action, Adventure, Drama, Sci-Fi"
5097,Double Cast,6.72,1286,,"Boys Love, Erotica"
5127,Fire of Love,6.81,768,,"Boys Love, Erotica"
5129,Roman Gousha,6.94,1855,,"Boys Love, Erotica, Historical"
5192,Project Zeorymer,5.59,569,,"Action, Drama, Sci-Fi, Hentai, Mecha"
5203,Mobile Suit Crossbone Gundam: Skull Heart,6.97,1980,,"Action, Sci-Fi, Mecha, Military, Space"
5208,Phantom Wizard,6.4,857,Shounen,"Action, Adventure, Fantasy"
5233,Suigara no Nedoko,,47,,"Boys Love, Erotica"
5355,Hidoi Otoko.,7.02,1087,,"Boys Love, Erotica"
5391,Sunaebo,6.9,1397,Shoujo,"Drama, Romance"
5401,Ayako,7.67,10609,Seinen,"Drama, Historical, Psychological"
5417,Shin Happy People,,216,Seinen,"Comedy, Drama"
5418,Macross 7 Trash,6.52,1106,Shounen,"Action, Drama, Sci-Fi, Mecha, Military, Music, Space"
5451,Ultimate Muscle: The Kinnikuman Legacy,7.4,1739,,"Action, Comedy, Martial Arts, Super Power"
5479,Jinzou Shoujo,6.54,2017,Shoujo,"Drama, Horror, Mystery, Romance, Sci-Fi, Magical Sex Shift"
5512,Did I Do Something Wrong?,5.46,557,Shoujo,"Comedy, School"
5559,Worthless Love,,94,,"Boys Love, Erotica"
5584,Wreckage X,5.46,705,,Adventure
5632,Night Warriors: Darkstalkers' Revenge,,450,Seinen,"Action, Supernatural"
5650,I too have a word to say about it,6.85,836,,"Boys Love, Comedy, Erotica"
5653,Morning Kiss,6.55,579,,"Boys Love, Erotica"
5674,Negative Happy Chainsaw Edge,6.88,12470,Shounen,"Action, Romance, Suspense, Ecchi, Psychological"
5678,Dan Dan Dakishimete,,117,Shoujo,Romance
5700,Lovers Flowers,6.76,529,Shoujo,Romance
5732,The Boy Toy,6.71,2365,,"Boys Love, Drama, Erotica"
5736,Too Hot to Handle,6.82,899,,"Hentai, School"
5745,Love Luck,7.32,3360,Shoujo,"Comedy, Romance"
5762,Makeru na Otoko Yo,5.95,269,,"Boys Love, Erotica, School"
5802,Lost+Brain,6.47,10368,Shounen,"Drama, Psychological"
5808,Flower,6.46,613,Shoujo,"Drama, Romance"
5824,Pink de Ikou!,6.9,423,Shoujo,"Romance, School"
5927,Kiiroi Isu,6.47,1099,Shoujo,
5943,Hanshin,7.32,5698,Shoujo,"Drama, Psychological"
5957,Electric Prince Takahashi,,128,Shoujo,"Fantasy, Romance"
5970,Shokubutsu Zukan,,205,,"Boys Love, Drama"
5976,16 Engage,6.4,1315,Shoujo,"Drama, Romance"
5981,Goshujinsama ni Amai Ringo no Okashi,6.17,273,Shoujo,"Comedy, Drama, Romance"
6006,Gentle Cage,7.24,365,,"Boys Love, Erotica"
6087,Koisuru Heart de Taihoshite,6.9,1935,Shoujo,"Romance, Detective"
6089,Crimson MIX Special,,157,Shoujo,"Fantasy, Romance"
6091,Tonari ni Kimi no Nukumori wo,7.15,2967,,"Boys Love, Erotica"
6099,Honnori Vanilla,,180,,"Boys Love, Comedy"
6226,NuiguruMix♥,6.83,1001,Seinen,"Comedy, Romance, Supernatural, Ecchi, Harem, School"
6294,One More Jump,,111,Shoujo,"Award Winning, Romance, Sports"
6384,Momoman,,102,Shoujo,
6388,Boys' Kingdom II,,384,Shoujo,"Comedy, Romance, School"
6444,Naruto,6.5,17370,Shounen,Action
6524,Love Together,6.6,308,,"Boys Love, Erotica"
6766,Go With a Kiss!,,167,Shoujo,Romance
6808,Saikou no Kiss wo Ageru,7.36,2354,Shoujo,
6810,Love or Pride,7.12,1691,,"Boys Love, Erotica"
6834,Nephylym,,209,Seinen,"Action, Comedy, Fantasy"
6838,"""Kiss me!"" After school",7.35,5191,Shoujo,"Comedy, Romance, School"
6885,The True Feeling of Lust,,85,Shoujo,"Romance, Ecchi"
7067,Skyhigh: Shinshou,7.32,2639,Seinen,"Drama, Horror, Supernatural"
7092,Meg to Seron,,366,,"Action, Adventure, Fantasy"
7113,Baka.,5.55,397,Seinen,"Comedy, School"
7115,Getsumen to Heiki Miina,,347,Shounen,"Action, Comedy, Fantasy, Sci-Fi, Ecchi"
7140,Jewelry★Eyes,6.98,1146,Shoujo,Romance
7169,Tengai Retrogical,,100,,"Comedy, Fantasy"
7195,Devil Kings,7.22,1218,Shounen,"Action, Fantasy, Martial Arts, Samurai"
7215,Dan Doh!! Xi,,204,Shounen,"Romance, Sports"
7287,Chiki Chiki Banana,6.66,437,Shoujo,Romance
7289,"No, No, Darling",6.44,416,Shoujo,Romance
7323,The Aristocrat's Blue Kiss,7.1,1706,,"Boys Love, Erotica"
7325,Sengoku Strays,7.62,6019,Shounen,"Action, Fantasy, Historical, Time Travel"
7369,Call My Name,,387,Shoujo,
7376,Masuraou,6.66,1984,Seinen,"Action, Comedy"
7431,Uwasa no Kanojo,6.95,1360,,"Comedy, Romance, School"
7533,Koukaku no Regios,7.67,4115,,"Fantasy, Sci-Fi, School"
7545,Shishunki wa Hatsujouki.,7.0,948,,"Hentai, School"
7576,Kawaii tte Itte yo,7.07,1459,Shoujo,Romance
7634,High School! Kimengumi,7.28,996,Shounen,"Comedy, Gag Humor, School"
7668,Complex,8.15,4000,,"Boys Love, Erotica"
7688,H,6.21,699,,Hentai
7733,Sonna Koe Dashicha Iya,6.8,915,Shoujo,"Comedy, Drama, Romance"
7735,Cinderella Fella,6.8,883,,"Comedy, Romance"
7736,Confessing Truthfully,6.92,620,,"Romance, School"
7766,Mayonaka Express,7.22,653,Shoujo,"Comedy, Fantasy, Romance, Sci-Fi, Supernatural"
7808,Royal Standard II,,78,,Hentai
7825,Little Sister's Panties,,199,,"Ecchi, Hentai"
7940,Leave It to Me!,,261,Shoujo,"Romance, School"
7973,Eccentric Lover,,52,Shoujo,
7996,Deborah Is My Rival,6.77,346,Shoujo,Romance
7999,Azamaru,6.49,880,Seinen,"Action, Romance, Historical"
8015,Seijou Kouchakan no Jijou,6.54,1941,Seinen,"Boys Love, Comedy, Girls Love, Romance, Ecchi, Magical Sex Shift"
8023,Aoiro Toshokan,6.69,531,Shoujo,
8041,Kowashitai hodo Aisaretai,,102,Shoujo,
8063,Akuma Kari: Kanmuri Tsubasa no Seitenshihen,,78,Shounen,"Action, Fantasy"
8067,SiraYuki PaniMix!,6.87,487,Shounen,Fantasy
8121,Himitsu no Ren'ai Drama,,114,Shoujo,"Drama, Romance"
8126,Playing Love Performance with Me,,50,Shoujo,Romance
